id,type,pid,cdate,udate,uid,space_id,name,color,deleted
4232884,snapshots,0,2026-04-01 11:52:15,2026-04-01 11:52:15,179895932,5998468,Webinar,,0
4232880,projects,0,2026-04-01 11:51:43,2026-04-01 11:51:43,179895932,5998468,Webinar,,0
3892600,projects,0,2025-11-20 14:28:03,2025-11-20 14:28:53,179895932,,Experts projects,,1
3384952,projects,0,2025-05-06 10:43:21,2026-04-01 11:57:42,179895932,,DB,,1
3384948,projects,0,2025-05-06 10:43:17,2026-04-01 11:57:35,179895932,,Clientes,,1
3384944,projects,0,2025-05-06 10:43:12,2025-05-06 10:43:12,179895932,,Proyectos portfolio,,0
